"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Klebsiella virus KP27","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Kp15virus","Klebsiella virus KP27"
"Klebsiella phage JD001","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Msw3virus","Klebsiella phage JD001"
"Escherichia phage D108","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Muvirus","Escherichia phage D108"
"Acinetobacter phage Acj61","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Myoviridae_unclassified","Acinetobacter phage Acj61"
"Aeromonas phage vB AsaM 56","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Myoviridae_unclassified","Aeromonas phage vB AsaM 56"
"Aeromonas virus 65","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Myoviridae_unclassified","Aeromonas virus 65"
"Bacillus phage 0305phi8 36","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Myoviridae_unclassified","Bacillus phage 0305phi8 36"
"Brochothrix phage A9","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Myoviridae_unclassified","Brochothrix phage A9"
"Cronobacter phage ENT47670","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Myoviridae_unclassified","Cronobacter phage ENT47670"
"Cronobacter phage vB CsaM GAP32","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Myoviridae_unclassified","Cronobacter phage vB CsaM GAP32"
"Enterobacteria phage SfV","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Myoviridae_unclassified","Enterobacteria phage SfV"
"Enterobacteria phage phiEcoM GJ1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Myoviridae_unclassified","Enterobacteria phage phiEcoM GJ1"
"Enterobacteria phage phiP27","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Myoviridae_unclassified","Enterobacteria phage phiP27"
"Erwinia phage vB EamM Y2","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Myoviridae_unclassified","Erwinia phage vB EamM Y2"
"Escherichia phage phAPEC8","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Myoviridae_unclassified","Escherichia phage phAPEC8"
"Lactobacillus phage phiAQ113","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Myoviridae_unclassified","Lactobacillus phage phiAQ113"
"Lactobacillus prophage Lj771","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Myoviridae_unclassified","Lactobacillus prophage Lj771"
"Lactobacillus virus LP65","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Myoviridae_unclassified","Lactobacillus virus LP65"
"Pseudomonas phage OBP","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Myoviridae_unclassified","Pseudomonas phage OBP"
"Pseudomonas phage PA11","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Myoviridae_unclassified","Pseudomonas phage PA11"
"Psychrobacter phage pOW20 A","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Myoviridae_unclassified","Psychrobacter phage pOW20 A"
"Rhizobium phage RR1 A","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Myoviridae_unclassified","Rhizobium phage RR1 A"
"Rhizobium phage RR1 B","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Myoviridae_unclassified","Rhizobium phage RR1 B"
"Salmonella phage ST64B","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Myoviridae_unclassified","Salmonella phage ST64B"
"Shigella phage SfIV","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Myoviridae_unclassified","Shigella phage SfIV"
"Thermus phage TMA","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Myoviridae_unclassified","Thermus phage TMA"
"Vibrio phage ICP1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Myoviridae_unclassified","Vibrio phage ICP1"
"Xanthomonas phage vB XveM DIBBI","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Myoviridae_unclassified","Xanthomonas phage vB XveM DIBBI"
"Escherichia virus P1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__P1virus","Escherichia virus P1"
"Burkholderia phage KS14","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__P2virus","Burkholderia phage KS14"
"Burkholderia phage KS5","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__P2virus","Burkholderia phage KS5"
"Enterobacteria phage fiAA91 ss","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__P2virus","Enterobacteria phage fiAA91 ss"
"Erwinia phage ENT90","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__P2virus","Erwinia phage ENT90"
"Escherichia virus P2","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__P2virus","Escherichia virus P2"
"Pseudomonas virus phiCTX","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__P2virus","Pseudomonas virus phiCTX"
"Ralstonia virus RSA1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__P2virus","Ralstonia virus RSA1"
"Salmonella virus PsP3","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__P2virus","Salmonella virus PsP3"
"Pseudomonas phage 201phi2 1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Phikzvirus","Pseudomonas phage 201phi2 1"
"Escherichia virus JSE","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Rb49virus","Escherichia virus JSE"
"Escherichia virus RB49","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Rb49virus","Escherichia virus RB49"
"Escherichia virus phi1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Rb49virus","Escherichia virus phi1"
"Escherichia virus RB69","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Rb69virus","Escherichia virus RB69"
"Cronobacter virus GAP31","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Se1virus","Cronobacter virus GAP31"
"Salmonella virus SE1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Se1virus","Salmonella virus SE1"
"Aeromonas virus AS4","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Secunda5virus","Aeromonas virus AS4"
"Staphylococcus virus SA11","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Silviavirus","Staphylococcus virus SA11"
"Shigella virus SP18","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Sp18virus","Shigella virus SP18"
"Cronobacter phage CR5","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Spn3virus","Cronobacter phage CR5"
"Escherichia virus Ime09","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__T4virus","Escherichia virus Ime09"
"Escherichia virus RB14","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__T4virus","Escherichia virus RB14"
"Shigella virus Shfl2","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__T4virus","Shigella virus Shfl2"
"Staphylococcus virus Twort","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Twortvirus","Staphylococcus virus Twort"
"Escherichia virus JES2013","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__V5virus","Escherichia virus JES2013"
"Escherichia virus V5","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__V5virus","Escherichia virus V5"
"Vibrio virus VHML","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Vhmlvirus","Vibrio virus VHML"
"Burkholderia virus BcepC6B","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Bpp1virus","Burkholderia virus BcepC6B"
"Escherichia phage TL 2011b","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Epsilon15virus","Escherichia phage TL 2011b"
"Escherichia virus phiV10","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Epsilon15virus","Escherichia virus phiV10"
"Salmonella virus Epsilon15","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Epsilon15virus","Salmonella virus Epsilon15"
"Escherichia virus G7C","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__G7cvirus","Escherichia virus G7C"
"Escherichia virus IME11","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__G7cvirus","Escherichia virus IME11"
"Klebsiella virus K11","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Kp32virus","Klebsiella virus K11"
"Klebsiella virus KP32","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Kp32virus","Klebsiella virus KP32"
"Klebsiella virus KP34","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Kp34virus","Klebsiella virus KP34"
"Pseudomonas virus LIT1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Lit1virus","Pseudomonas virus LIT1"
"Pseudomonas phage UFV P2","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Luz24virus","Pseudomonas phage UFV P2"
"Pseudomonas phage tf","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Luz24virus","Pseudomonas phage tf"
"Escherichia phage KBNP21","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__N4virus","Escherichia phage KBNP21"
"Escherichia virus N4","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__N4virus","Escherichia virus N4"
"Enterobacteria phage IME10","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__P22virus","Enterobacteria phage IME10"
"Salmonella phage epsilon34","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__P22virus","Salmonella phage epsilon34"
"Salmonella phage g341c","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__P22virus","Salmonella phage g341c"
"Salmonella virus HK620","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__P22virus","Salmonella virus HK620"
"Shigella virus Sf6","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__P22virus","Shigella virus Sf6"
"Escherichia virus NJ01","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Phieco32virus","Escherichia virus NJ01"
"Escherichia virus phiEco32","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Phieco32virus","Escherichia virus phiEco32"
"Pseudomonas virus LKA1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Phikmvvirus","Pseudomonas virus LKA1"
"Clostridium phage phi24R","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Podoviridae_unclassified","Clostridium phage phi24R"
"Cronobacter phage vB CsaP GAP52","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Podoviridae_unclassified","Cronobacter phage vB CsaP GAP52"
"Cronobacter phage vB CskP GAP227","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Podoviridae_unclassified","Cronobacter phage vB CskP GAP227"
"Erwinia phage PEp14","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Podoviridae_unclassified","Erwinia phage PEp14"
"Erwinia phage vB EamP S6","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Podoviridae_unclassified","Erwinia phage vB EamP S6"
"Escherichia phage KBNP135","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Podoviridae_unclassified","Escherichia phage KBNP135"
"Escherichia phage phiKT","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Podoviridae_unclassified","Escherichia phage phiKT"
"Hamiltonella virus APSE1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Podoviridae_unclassified","Hamiltonella virus APSE1"
"Pantoea virus Limelight","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Podoviridae_unclassified","Pantoea virus Limelight"
"Planktothrix phage PaV LD","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Podoviridae_unclassified","Planktothrix phage PaV LD"
"Pseudomonas phage AF","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Podoviridae_unclassified","Pseudomonas phage AF"
"Pseudomonas phage Bf7","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Podoviridae_unclassified","Pseudomonas phage Bf7"
"Salmonella phage 7 11","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Podoviridae_unclassified","Salmonella phage 7 11"
"Silicibacter phage DSS3phi2","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Podoviridae_unclassified","Silicibacter phage DSS3phi2"
"Sinorhizobium phage PBC5","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Podoviridae_unclassified","Sinorhizobium phage PBC5"
"Sodalis phage phiSG1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Podoviridae_unclassified","Sodalis phage phiSG1"
"Sulfitobacter phage EE36phi1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Podoviridae_unclassified","Sulfitobacter phage EE36phi1"
"Thalassomonas phage BA3","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Podoviridae_unclassified","Thalassomonas phage BA3"
"Vibrio phage ICP2","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Podoviridae_unclassified","Vibrio phage ICP2"
"Vibrio phage VvAW1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Podoviridae_unclassified","Vibrio phage VvAW1"
"Weissella phage phiYS61","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Podoviridae_unclassified","Weissella phage phiYS61"
"Xanthomonas citri phage CP2","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Podoviridae_unclassified","Xanthomonas citri phage CP2"
"Yersinia phage phi80 18","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Podoviridae_unclassified","Yersinia phage phi80 18"
"Escherichia virus K1E","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Sp6virus","Escherichia virus K1E"
"Pectobacterium phage PP1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Sp6virus","Pectobacterium phage PP1"
"Enterobacteria phage 13a","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__T7virus","Enterobacteria phage 13a"
"Enterobacteria phage EcoDS1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__T7virus","Enterobacteria phage EcoDS1"
"Enterobacteria phage K1F","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__T7virus","Enterobacteria phage K1F"
"Enterobacteria phage T3","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__T7virus","Enterobacteria phage T3"
"Erwinia phage vB EamP L1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__T7virus","Erwinia phage vB EamP L1"
"Morganella phage MmP1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__T7virus","Morganella phage MmP1"
"Pseudomonas phage Phi S1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__T7virus","Pseudomonas phage Phi S1"
"Pseudomonas phage phi15","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__T7virus","Pseudomonas phage phi15"
"Pseudomonas virus gh1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__T7virus","Pseudomonas virus gh1"
"Stenotrophomonas phage IME15","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__T7virus","Stenotrophomonas phage IME15"
"Bacillus virus Eoghan","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Andromedavirus","Bacillus virus Eoghan"
"Bacillus virus Finn","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Andromedavirus","Bacillus virus Finn"
"Mycobacterium virus Barnyard","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Barnyardvirus","Mycobacterium virus Barnyard"
"Mycobacterium virus Konstantine","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Barnyardvirus","Mycobacterium virus Konstantine"
"Staphylococcus phage 2638A","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Biseptimavirus","Staphylococcus phage 2638A"
"Mycobacterium virus Brujita","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Brujitavirus","Mycobacterium virus Brujita"
"Lactococcus virus bIL67","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__C2virus","Lactococcus virus bIL67"
"Bacillus virus IEBH","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Cecivirus","Bacillus virus IEBH"
"Mycobacterium phage Bobi","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Che8virus","Mycobacterium phage Bobi"
"Mycobacterium phage Hamulus","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Che8virus","Mycobacterium phage Hamulus"
"Mycobacterium phage Velveteen","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Che8virus","Mycobacterium phage Velveteen"
"Mycobacterium virus Che8","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Che8virus","Mycobacterium virus Che8"
"Mycobacterium virus Che9c","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Che9cvirus","Mycobacterium virus Che9c"
"Providencia phage Redjac","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Chivirus","Providencia phage Redjac"
"Pseudomonas virus D3112","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__D3112virus","Pseudomonas virus D3112"
"Mycobacterium virus Giles","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Gilesvirus","Mycobacterium virus Giles"
"Sodalis virus SO1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Hk578virus","Sodalis virus SO1"
"Cronobacter phage ENT39118","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Hk97virus","Cronobacter phage ENT39118"
"Enterobacteria phage mEp235","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Hk97virus","Enterobacteria phage mEp235"
"Enterobacterial phage mEp390","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Hk97virus","Enterobacterial phage mEp390"
"Escherichia virus HK544","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Hk97virus","Escherichia virus HK544"
"Salmonella virus Jersey","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Jerseyvirus","Salmonella virus Jersey"
"Salmonella virus SE2","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Jerseyvirus","Salmonella virus SE2"
"Klebsiella virus KP36","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Kp36virus","Klebsiella virus KP36"
"Mycobacterium phage BTCU 1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__L5virus","Mycobacterium phage BTCU 1"
"Mycobacterium phage CASbig","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__L5virus","Mycobacterium phage CASbig"
"Mycobacterium phage Fredward","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__L5virus","Mycobacterium phage Fredward"
"Mycobacterium phage HINdeR","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__L5virus","Mycobacterium phage HINdeR"
"Mycobacterium phage LittleCherry","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__L5virus","Mycobacterium phage LittleCherry"
"Mycobacterium phage Severus","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__L5virus","Mycobacterium phage Severus"
"Mycobacterium virus Bethlehem","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__L5virus","Mycobacterium virus Bethlehem"
"Mycobacterium virus Peaches","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__L5virus","Mycobacterium virus Peaches"
"Mycobacterium virus Pukovnik","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__L5virus","Mycobacterium virus Pukovnik"
"Escherichia virus N15","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__N15virus","Escherichia virus N15"
"Listeria virus P70","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__P70virus","Listeria virus P70"
"Mycobacterium virus PBI1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Pbi1virus","Mycobacterium virus PBI1"
"Streptomyces phage phiSASD1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Phic31virus","Streptomyces phage phiSASD1"
"Streptomyces virus phiC31","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Phic31virus","Streptomyces virus phiC31"
"Staphylococcus phage StB27","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Phietavirus","Staphylococcus phage StB27"
"Staphylococcus phage StauST398 3","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Phietavirus","Staphylococcus phage StauST398 3"
"Staphylococcus virus 37","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Phietavirus","Staphylococcus virus 37"
"Staphylococcus virus CNPH82","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Phietavirus","Staphylococcus virus CNPH82"
"Staphylococcus virus EW","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Phietavirus","Staphylococcus virus EW"
"Staphylococcus virus PH15","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Phietavirus","Staphylococcus virus PH15"
"Pediococcus virus cIP1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Phijl1virus","Pediococcus virus cIP1"
"Salmonella phage Vi II E1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Pis4avirus","Salmonella phage Vi II E1"
"Vibrio phage pYD38 A","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Pis4avirus","Vibrio phage pYD38 A"
