"","CowId","DIM_Target","CaseOrControl","Calving","DIM","ReadCountRaw","ReadCountTrim","Batch","ReadCountHost","FarmId","SampleType","DaysToInfection","WeeksToInfection","ReadCountNonHost","SampleId"
"USDA510","23883","0","Control","6/10/19",-11,26746309,25348712,"2",8187400,"Farm B","Sample",-11,"-2",17161312,"USDA510"
"USDA511","24012","2","Control","6/11/19",-12,30121765,29467920,"3",3677420,"Farm B","Sample",-14,"-2",25790500,"USDA511"
"USDA514","22961","2","Case","6/4/19",-5,32881400,32025336,"2",25886981,"Farm B","Sample",-7,"-1",6138355,"USDA514"
"USDA516","23917","1","Case","6/2/19",-3,27091975,26526683,"1",11782304,"Farm B","Sample",-4,"-1",14744379,"USDA516"
"USDA519","23915","25","Case","5/9/19",25,35701856,34957499,"2",1346610,"Farm B","Sample",0,"-1",33610889,"USDA519"
"USDA526","23872","11","Case","5/23/19",11,30413218,29791582,"1",8439428,"Farm B","Sample",0,"-1",21352154,"USDA526"
"USDA528","23760","18","Case","5/23/19",11,30255532,29451839,"2",20758743,"Farm B","Sample",-7,"-1",8693096,"USDA528"
"USDA533","23740","0","Case","4/29/19",-25,28533940,27715715,"1",5302631,"Farm B","Sample",-25,"-4",22413084,"USDA533"
"USDA534","23701","2","Control","4/30/19",-26,27979512,27335168,"2",1628784,"Farm B","Sample",-28,"-4",25706384,"USDA534"
"USDA539","23805","3","Case","4/26/19",-22,31538877,30576253,"2",233079,"Farm B","Sample",-25,"-4",30343174,"USDA539"
"USDA542","1703","0","Control","3/29/19",-14,34771071,34119108,"1",615237,"Farm D","Sample",-14,"-2",33503871,"USDA542"
"USDA544","1719","1","Case","4/4/19",-20,39311449,37738016,"1",7770396,"Farm D","Sample",-21,"-3",29967620,"USDA544"
"USDA545","1720","4","Case","4/1/19",-17,31628908,30827824,"2",8360556,"Farm D","Sample",-21,"-3",22467268,"USDA545"
"USDA550","1713","13","Case","3/16/19",-29,32352668,31325680,"2",25661695,"Farm D","Sample",-42,"-6",5663985,"USDA550"
"USDA558","1720","4","Case","4/1/19",-31,34116848,33433763,"1",4232106,"Farm D","Sample",-35,"-5",29201657,"USDA558"
"USDA561","1703","0","Control","3/29/19",-28,30429869,29760767,"1",9938934,"Farm D","Sample",-28,"-4",19821833,"USDA561"
